Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
GEISINGER-LEWISTOWN HOSPITAL,390048,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
GEISINGER-LEWISTOWN HOSPITAL,390048,PA,READM-30-COPD-HRRP,234,,1.0569,22.5733,21.3588,57,07/01/2013,06/30/2016
GEISINGER-LEWISTOWN HOSPITAL,390048,PA,READM-30-HF-HRRP,288,,0.9504,19.8145,20.8495,54,07/01/2013,06/30/2016
GEISINGER-LEWISTOWN HOSPITAL,390048,PA,READM-30-HIP-KNEE-HRRP,Not Available,,0.9947,4.8841,4.9101,Too Few to Report,07/01/2013,06/30/2016
GEISINGER-LEWISTOWN HOSPITAL,390048,PA,READM-30-PN-HRRP,288,,1.0438,17.8955,17.1450,54,07/01/2013,06/30/2016
ST LUKE'S HOSPITAL BETHLEHEM,390049,PA,READM-30-AMI-HRRP,373,,0.8865,13.5663,15.3031,43,07/01/2013,06/30/2016
ST LUKE'S HOSPITAL BETHLEHEM,390049,PA,READM-30-CABG-HRRP,185,,0.8326,12.0531,14.4764,17,07/01/2013,06/30/2016
ST LUKE'S HOSPITAL BETHLEHEM,390049,PA,READM-30-COPD-HRRP,508,,0.9847,20.3024,20.6170,102,07/01/2013,06/30/2016
ST LUKE'S HOSPITAL BETHLEHEM,390049,PA,READM-30-HF-HRRP,1016,,0.9958,21.7777,21.8702,221,07/01/2013,06/30/2016
ST LUKE'S HOSPITAL BETHLEHEM,390049,PA,READM-30-HIP-KNEE-HRRP,742,,0.9934,4.7337,4.7649,35,07/01/2013,06/30/2016
ST LUKE'S HOSPITAL BETHLEHEM,390049,PA,READM-30-PN-HRRP,789,,0.8936,15.6430,17.5049,117,07/01/2013,06/30/2016
ALLEGHENY GENERAL HOSPITAL,390050,PA,READM-30-AMI-HRRP,297,,0.9908,16.0266,16.1752,47,07/01/2013,06/30/2016
ALLEGHENY GENERAL HOSPITAL,390050,PA,READM-30-CABG-HRRP,110,,0.9563,13.9032,14.5379,14,07/01/2013,06/30/2016
ALLEGHENY GENERAL HOSPITAL,390050,PA,READM-30-COPD-HRRP,160,,0.9692,19.5640,20.1850,29,07/01/2013,06/30/2016
ALLEGHENY GENERAL HOSPITAL,390050,PA,READM-30-HF-HRRP,440,,1.0742,23.5322,21.9067,108,07/01/2013,06/30/2016
ALLEGHENY GENERAL HOSPITAL,390050,PA,READM-30-HIP-KNEE-HRRP,252,,1.0037,4.3377,4.3218,11,07/01/2013,06/30/2016
ALLEGHENY GENERAL HOSPITAL,390050,PA,READM-30-PN-HRRP,311,,1.0379,19.5472,18.8327,63,07/01/2013,06/30/2016
PENN HIGHLANDS CLEARFIELD,390052,PA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
PENN HIGHLANDS CLEARFIELD,390052,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
PENN HIGHLANDS CLEARFIELD,390052,PA,READM-30-COPD-HRRP,116,,1.0233,17.5700,17.1696,22,07/01/2013,06/30/2016
PENN HIGHLANDS CLEARFIELD,390052,PA,READM-30-HF-HRRP,180,,1.1007,21.7713,19.7794,45,07/01/2013,06/30/2016
PENN HIGHLANDS CLEARFIELD,390052,PA,READM-30-HIP-KNEE-HRRP,Not Available,,1.0156,4.0790,4.0165,Too Few to Report,07/01/2013,06/30/2016
PENN HIGHLANDS CLEARFIELD,390052,PA,READM-30-PN-HRRP,179,,0.8993,13.8759,15.4294,19,07/01/2013,06/30/2016
J C BLAIR MEMORIAL HOSPITAL,390056,PA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
J C BLAIR MEMORIAL HOSPITAL,390056,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
J C BLAIR MEMORIAL HOSPITAL,390056,PA,READM-30-COPD-HRRP,92,,0.9705,17.5390,18.0729,14,07/01/2013,06/30/2016
J C BLAIR MEMORIAL HOSPITAL,390056,PA,READM-30-HF-HRRP,123,,0.9054,18.6348,20.5823,17,07/01/2013,06/30/2016
J C BLAIR MEMORIAL HOSPITAL,390056,PA,READM-30-HIP-KNEE-HRRP,Not Available,,0.9396,4.1539,4.4210,Too Few to Report,07/01/2013,06/30/2016
J C BLAIR MEMORIAL HOSPITAL,390056,PA,READM-30-PN-HRRP,201,,0.9008,13.8079,15.3292,22,07/01/2013,06/30/2016
GRAND VIEW HOSPITAL,390057,PA,READM-30-AMI-HRRP,81,,1.0093,17.7575,17.5934,15,07/01/2013,06/30/2016
GRAND VIEW HOSPITAL,390057,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
GRAND VIEW HOSPITAL,390057,PA,READM-30-COPD-HRRP,218,,1.0586,19.6716,18.5823,47,07/01/2013,06/30/2016
GRAND VIEW HOSPITAL,390057,PA,READM-30-HF-HRRP,391,,0.9064,18.9015,20.8544,68,07/01/2013,06/30/2016
GRAND VIEW HOSPITAL,390057,PA,READM-30-HIP-KNEE-HRRP,447,,0.8426,3.8481,4.5670,14,07/01/2013,06/30/2016
GRAND VIEW HOSPITAL,390057,PA,READM-30-PN-HRRP,549,,0.8550,13.4225,15.6994,65,07/01/2013,06/30/2016
CARLISLE REGIONAL MEDICAL CENTER,390058,PA,READM-30-AMI-HRRP,Not Available,,0.9607,18.0194,18.7570,Too Few to Report,07/01/2013,06/30/2016
CARLISLE REGIONAL MEDICAL CENTER,390058,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CARLISLE REGIONAL MEDICAL CENTER,390058,PA,READM-30-COPD-HRRP,192,,0.9729,17.1473,17.6247,31,07/01/2013,06/30/2016
CARLISLE REGIONAL MEDICAL CENTER,390058,PA,READM-30-HF-HRRP,167,,0.9899,20.1268,20.3320,33,07/01/2013,06/30/2016
CARLISLE REGIONAL MEDICAL CENTER,390058,PA,READM-30-HIP-KNEE-HRRP,Not Available,,0.8596,3.5768,4.1609,Too Few to Report,07/01/2013,06/30/2016
CARLISLE REGIONAL MEDICAL CENTER,390058,PA,READM-30-PN-HRRP,249,,1.0609,17.1242,16.1406,46,07/01/2013,06/30/2016
LANCASTER REGIONAL MEDICAL CENTER,390061,PA,READM-30-AMI-HRRP,Not Available,,0.9965,15.1172,15.1699,Too Few to Report,07/01/2013,06/30/2016
LANCASTER REGIONAL MEDICAL CENTER,390061,PA,READM-30-CABG-HRRP,Not Available,,1.0446,13.8608,13.2687,Too Few to Report,07/01/2013,06/30/2016
LANCASTER REGIONAL MEDICAL CENTER,390061,PA,READM-30-COPD-HRRP,107,,0.9680,19.0275,19.6556,18,07/01/2013,06/30/2016
LANCASTER REGIONAL MEDICAL CENTER,390061,PA,READM-30-HF-HRRP,152,,0.9948,19.9444,20.0494,30,07/01/2013,06/30/2016
LANCASTER REGIONAL MEDICAL CENTER,390061,PA,READM-30-HIP-KNEE-HRRP,260,,1.0796,4.8299,4.4739,14,07/01/2013,06/30/2016
LANCASTER REGIONAL MEDICAL CENTER,390061,PA,READM-30-PN-HRRP,149,,0.9399,15.0858,16.0501,19,07/01/2013,06/30/2016
NASON HOSPITAL,390062,PA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
NASON HOSPITAL,390062,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
NASON HOSPITAL,390062,PA,READM-30-COPD-HRRP,Not Available,,1.0610,18.0161,16.9804,Too Few to Report,07/01/2013,06/30/2016
NASON HOSPITAL,390062,PA,READM-30-HF-HRRP,73,,1.0543,19.0148,18.0351,17,07/01/2013,06/30/2016
NASON HOSPITAL,390062,PA,READM-30-HIP-KNEE-HRRP,Not Available,,1.0917,4.7103,4.3146,Too Few to Report,07/01/2013,06/30/2016
NASON HOSPITAL,390062,PA,READM-30-PN-HRRP,Not Available,,0.8952,12.1518,13.5737,Too Few to Report,07/01/2013,06/30/2016
UPMC HAMOT,390063,PA,READM-30-AMI-HRRP,518,,0.9415,14.6449,15.5550,72,07/01/2013,06/30/2016
UPMC HAMOT,390063,PA,READM-30-CABG-HRRP,147,,0.9418,12.7258,13.5123,17,07/01/2013,06/30/2016
UPMC HAMOT,390063,PA,READM-30-COPD-HRRP,396,,1.0627,21.3323,20.0737,89,07/01/2013,06/30/2016
UPMC HAMOT,390063,PA,READM-30-HF-HRRP,696,,1.0294,21.5839,20.9681,152,07/01/2013,06/30/2016
UPMC HAMOT,390063,PA,READM-30-HIP-KNEE-HRRP,404,,0.9171,4.1141,4.4860,15,07/01/2013,06/30/2016
UPMC HAMOT,390063,PA,READM-30-PN-HRRP,573,,0.9496,16.2230,17.0848,90,07/01/2013,06/30/2016
GETTYSBURG HOSPITAL,390065,PA,READM-30-AMI-HRRP,Not Available,,0.9458,17.0229,17.9985,Too Few to Report,07/01/2013,06/30/2016
GETTYSBURG HOSPITAL,390065,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
GETTYSBURG HOSPITAL,390065,PA,READM-30-COPD-HRRP,122,,1.0067,17.6419,17.5245,22,07/01/2013,06/30/2016
GETTYSBURG HOSPITAL,390065,PA,READM-30-HF-HRRP,260,,1.0471,22.7483,21.7256,62,07/01/2013,06/30/2016
GETTYSBURG HOSPITAL,390065,PA,READM-30-HIP-KNEE-HRRP,313,,1.1251,5.3563,4.7606,19,07/01/2013,06/30/2016
GETTYSBURG HOSPITAL,390065,PA,READM-30-PN-HRRP,354,,0.9751,15.9399,16.3469,55,07/01/2013,06/30/2016
GOOD SAMARITAN HOSPITAL,390066,PA,READM-30-AMI-HRRP,239,,0.9913,14.8769,15.0076,35,07/01/2013,06/30/2016
ARIA HEALTH,390115,PA,READM-30-HIP-KNEE-HRRP,582,,1.2755,5.9069,4.6309,39,07/01/2013,06/30/2016
GOOD SAMARITAN HOSPITAL,390066,PA,READM-30-CABG-HRRP,Not Available,,0.8831,10.7053,12.1226,Too Few to Report,07/01/2013,06/30/2016
GOOD SAMARITAN HOSPITAL,390066,PA,READM-30-COPD-HRRP,245,,0.9400,15.6288,16.6260,34,07/01/2013,06/30/2016
GOOD SAMARITAN HOSPITAL,390066,PA,READM-30-HF-HRRP,376,,0.9459,18.6996,19.7696,67,07/01/2013,06/30/2016
GOOD SAMARITAN HOSPITAL,390066,PA,READM-30-HIP-KNEE-HRRP,Not Available,,0.8825,3.8338,4.3442,Too Few to Report,07/01/2013,06/30/2016
GOOD SAMARITAN HOSPITAL,390066,PA,READM-30-PN-HRRP,558,,1.0472,15.8453,15.1316,91,07/01/2013,06/30/2016
PINNACLE HEALTH HOSPITALS,390067,PA,READM-30-AMI-HRRP,508,,0.9454,13.8834,14.6847,67,07/01/2013,06/30/2016
PINNACLE HEALTH HOSPITALS,390067,PA,READM-30-CABG-HRRP,194,,0.9372,12.8157,13.6744,23,07/01/2013,06/30/2016
PINNACLE HEALTH HOSPITALS,390067,PA,READM-30-COPD-HRRP,494,,1.0364,18.3108,17.6675,93,07/01/2013,06/30/2016
PINNACLE HEALTH HOSPITALS,390067,PA,READM-30-HF-HRRP,1038,,0.9441,19.7961,20.9673,202,07/01/2013,06/30/2016
PINNACLE HEALTH HOSPITALS,390067,PA,READM-30-HIP-KNEE-HRRP,1265,,1.2793,5.6386,4.4077,76,07/01/2013,06/30/2016
PINNACLE HEALTH HOSPITALS,390067,PA,READM-30-PN-HRRP,1058,,0.8856,14.9260,16.8533,151,07/01/2013,06/30/2016
HEART OF LANCASTER MEDICAL CENTER,390068,PA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HEART OF LANCASTER MEDICAL CENTER,390068,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HEART OF LANCASTER MEDICAL CENTER,390068,PA,READM-30-COPD-HRRP,Not Available,,0.9995,15.9874,15.9954,Too Few to Report,07/01/2013,06/30/2016
HEART OF LANCASTER MEDICAL CENTER,390068,PA,READM-30-HF-HRRP,89,,1.0142,18.1805,17.9268,17,07/01/2013,06/30/2016
HEART OF LANCASTER MEDICAL CENTER,390068,PA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HEART OF LANCASTER MEDICAL CENTER,390068,PA,READM-30-PN-HRRP,Not Available,,0.8944,12.7320,14.2357,Too Few to Report,07/01/2013,06/30/2016
LOWER BUCKS HOSPITAL,390070,PA,READM-30-AMI-HRRP,49,,1.0790,18.3661,17.0210,14,07/01/2013,06/30/2016
LOWER BUCKS HOSPITAL,390070,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
LOWER BUCKS HOSPITAL,390070,PA,READM-30-COPD-HRRP,137,,1.0551,21.1940,20.0881,33,07/01/2013,06/30/2016
LOWER BUCKS HOSPITAL,390070,PA,READM-30-HF-HRRP,167,,1.0335,23.3054,22.5500,41,07/01/2013,06/30/2016
LOWER BUCKS HOSPITAL,390070,PA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
LOWER BUCKS HOSPITAL,390070,PA,READM-30-PN-HRRP,109,,1.0448,19.6482,18.8065,24,07/01/2013,06/30/2016
LOCK HAVEN HOSPITAL,390071,PA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
LOCK HAVEN HOSPITAL,390071,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
LOCK HAVEN HOSPITAL,390071,PA,READM-30-COPD-HRRP,Not Available,,0.9390,16.2332,17.2874,Too Few to Report,07/01/2013,06/30/2016
LOCK HAVEN HOSPITAL,390071,PA,READM-30-HF-HRRP,120,,1.0054,20.5598,20.4485,25,07/01/2013,06/30/2016
LOCK HAVEN HOSPITAL,390071,PA,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
LOCK HAVEN HOSPITAL,390071,PA,READM-30-PN-HRRP,120,,0.9708,14.7026,15.1446,16,07/01/2013,06/30/2016
BERWICK HOSPITAL CENTER,390072,PA,READM-30-AMI-HRRP,Not Available,,1.0492,16.8551,16.0654,Too Few to Report,07/01/2013,06/30/2016
BERWICK HOSPITAL CENTER,390072,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
BERWICK HOSPITAL CENTER,390072,PA,READM-30-COPD-HRRP,102,,1.0049,15.3591,15.2845,16,07/01/2013,06/30/2016
BERWICK HOSPITAL CENTER,390072,PA,READM-30-HF-HRRP,95,,1.0207,19.7632,19.3621,20,07/01/2013,06/30/2016
BERWICK HOSPITAL CENTER,390072,PA,READM-30-HIP-KNEE-HRRP,Not Available,,1.1444,4.7468,4.1479,Too Few to Report,07/01/2013,06/30/2016
BERWICK HOSPITAL CENTER,390072,PA,READM-30-PN-HRRP,131,,0.9723,13.3816,13.7623,16,07/01/2013,06/30/2016
UPMC ALTOONA,390073,PA,READM-30-AMI-HRRP,594,,1.0100,17.7327,17.5564,106,07/01/2013,06/30/2016
UPMC ALTOONA,390073,PA,READM-30-CABG-HRRP,Not Available,,1.0493,13.9546,13.2986,Too Few to Report,07/01/2013,06/30/2016
UPMC ALTOONA,390073,PA,READM-30-COPD-HRRP,351,,0.9235,19.3343,20.9358,62,07/01/2013,06/30/2016
UPMC ALTOONA,390073,PA,READM-30-HF-HRRP,524,,0.9810,22.5579,22.9955,117,07/01/2013,06/30/2016
UPMC ALTOONA,390073,PA,READM-30-HIP-KNEE-HRRP,Not Available,,0.8896,4.4687,5.0235,Too Few to Report,07/01/2013,06/30/2016
UPMC ALTOONA,390073,PA,READM-30-PN-HRRP,644,,1.0048,17.6591,17.5754,114,07/01/2013,06/30/2016
BRANDYWINE HOSPITAL,390076,PA,READM-30-AMI-HRRP,149,,0.9613,14.4446,15.0265,19,07/01/2013,06/30/2016
BRANDYWINE HOSPITAL,390076,PA,READM-30-CABG-HRRP,Not Available,,0.9077,12.6478,13.9335,Too Few to Report,07/01/2013,06/30/2016
BRANDYWINE HOSPITAL,390076,PA,READM-30-COPD-HRRP,217,,1.0111,20.3615,20.1377,45,07/01/2013,06/30/2016
BRANDYWINE HOSPITAL,390076,PA,READM-30-HF-HRRP,324,,0.9798,21.0648,21.4981,67,07/01/2013,06/30/2016
BRANDYWINE HOSPITAL,390076,PA,READM-30-HIP-KNEE-HRRP,Not Available,,1.0820,5.0247,4.6438,Too Few to Report,07/01/2013,06/30/2016
BRANDYWINE HOSPITAL,390076,PA,READM-30-PN-HRRP,277,,1.0338,17.3616,16.7933,50,07/01/2013,06/30/2016
ROBERT PACKER HOSPITAL,390079,PA,READM-30-AMI-HRRP,605,,1.0974,17.1785,15.6537,110,07/01/2013,06/30/2016
ROBERT PACKER HOSPITAL,390079,PA,READM-30-CABG-HRRP,99,,1.0093,11.8610,11.7516,12,07/01/2013,06/30/2016
ROBERT PACKER HOSPITAL,390079,PA,READM-30-COPD-HRRP,417,,1.1406,21.6536,18.9846,100,07/01/2013,06/30/2016
ROBERT PACKER HOSPITAL,390079,PA,READM-30-HF-HRRP,652,,1.0938,23.0761,21.0970,156,07/01/2013,06/30/2016
ROBERT PACKER HOSPITAL,390079,PA,READM-30-HIP-KNEE-HRRP,595,,0.9106,3.9920,4.3841,22,07/01/2013,06/30/2016
ROBERT PACKER HOSPITAL,390079,PA,READM-30-PN-HRRP,548,,1.0910,17.7053,16.2286,102,07/01/2013,06/30/2016
JEANES HOSPITAL,390080,PA,READM-30-AMI-HRRP,122,,1.0556,16.8004,15.9151,24,07/01/2013,06/30/2016
JEANES HOSPITAL,390080,PA,READM-30-CABG-HRRP,Not Available,,1.0345,14.6296,14.1414,Too Few to Report,07/01/2013,06/30/2016
JEANES HOSPITAL,390080,PA,READM-30-COPD-HRRP,158,,1.0173,20.7069,20.3542,34,07/01/2013,06/30/2016
JEANES HOSPITAL,390080,PA,READM-30-HF-HRRP,426,,1.0467,22.1110,21.1253,97,07/01/2013,06/30/2016
JEANES HOSPITAL,390080,PA,READM-30-HIP-KNEE-HRRP,Not Available,,1.0565,5.1707,4.8943,Too Few to Report,07/01/2013,06/30/2016
JEANES HOSPITAL,390080,PA,READM-30-PN-HRRP,322,,1.0815,18.1554,16.7867,63,07/01/2013,06/30/2016
DELAWARE COUNTY MEMORIAL HOSPITAL,390081,PA,READM-30-AMI-HRRP,Not Available,,0.9903,19.5954,19.7879,Too Few to Report,07/01/2013,06/30/2016
DELAWARE COUNTY MEMORIAL HOSPITAL,390081,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
DELAWARE COUNTY MEMORIAL HOSPITAL,390081,PA,READM-30-COPD-HRRP,196,,0.9808,19.6077,19.9912,37,07/01/2013,06/30/2016
DELAWARE COUNTY MEMORIAL HOSPITAL,390081,PA,READM-30-HF-HRRP,268,,1.0780,24.3512,22.5899,70,07/01/2013,06/30/2016
DELAWARE COUNTY MEMORIAL HOSPITAL,390081,PA,READM-30-HIP-KNEE-HRRP,171,,1.1548,5.4321,4.7040,12,07/01/2013,06/30/2016
DELAWARE COUNTY MEMORIAL HOSPITAL,390081,PA,READM-30-PN-HRRP,293,,1.0298,18.1907,17.6649,55,07/01/2013,06/30/2016
SUNBURY COMMUNITY HOSPITAL,390084,PA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
SUNBURY COMMUNITY HOSPITAL,390084,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
SUNBURY COMMUNITY HOSPITAL,390084,PA,READM-30-COPD-HRRP,112,,0.9741,19.5633,20.0826,20,07/01/2013,06/30/2016
SUNBURY COMMUNITY HOSPITAL,390084,PA,READM-30-HF-HRRP,Not Available,,0.9244,21.0173,22.7364,Too Few to Report,07/01/2013,06/30/2016
SUNBURY COMMUNITY HOSPITAL,390084,PA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
SUNBURY COMMUNITY HOSPITAL,390084,PA,READM-30-PN-HRRP,135,,0.9422,15.8150,16.7857,18,07/01/2013,06/30/2016
PENN HIGHLANDS DUBOIS,390086,PA,READM-30-AMI-HRRP,321,,0.9700,14.9347,15.3971,46,07/01/2013,06/30/2016
PENN HIGHLANDS DUBOIS,390086,PA,READM-30-CABG-HRRP,Not Available,,1.0110,14.2227,14.0686,Too Few to Report,07/01/2013,06/30/2016
PENN HIGHLANDS DUBOIS,390086,PA,READM-30-COPD-HRRP,279,,1.0324,20.3085,19.6716,59,07/01/2013,06/30/2016
PENN HIGHLANDS DUBOIS,390086,PA,READM-30-HF-HRRP,457,,0.9614,21.0970,21.9433,94,07/01/2013,06/30/2016
PENN HIGHLANDS DUBOIS,390086,PA,READM-30-HIP-KNEE-HRRP,Not Available,,1.0167,5.6019,5.5097,Too Few to Report,07/01/2013,06/30/2016
PENN HIGHLANDS DUBOIS,390086,PA,READM-30-PN-HRRP,342,,1.0490,18.7730,17.8957,67,07/01/2013,06/30/2016
WEST PENN HOSPITAL,390090,PA,READM-30-AMI-HRRP,65,,1.0016,16.7647,16.7382,11,07/01/2013,06/30/2016
WEST PENN HOSPITAL,390090,PA,READM-30-CABG-HRRP,Not Available,,1.0564,16.7064,15.8148,Too Few to Report,07/01/2013,06/30/2016
WEST PENN HOSPITAL,390090,PA,READM-30-COPD-HRRP,Not Available,,0.9613,17.1292,17.8184,Too Few to Report,07/01/2013,06/30/2016
WEST PENN HOSPITAL,390090,PA,READM-30-HF-HRRP,Not Available,,0.9241,18.8975,20.4492,Too Few to Report,07/01/2013,06/30/2016
WEST PENN HOSPITAL,390090,PA,READM-30-HIP-KNEE-HRRP,Not Available,,1.0042,4.4934,4.4745,Too Few to Report,07/01/2013,06/30/2016
WEST PENN HOSPITAL,390090,PA,READM-30-PN-HRRP,59,,1.0076,17.8959,17.7609,11,07/01/2013,06/30/2016
UPMC NORTHWEST,390091,PA,READM-30-AMI-HRRP,Not Available,,1.0146,19.3739,19.0947,Too Few to Report,07/01/2013,06/30/2016
UPMC NORTHWEST,390091,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
UPMC NORTHWEST,390091,PA,READM-30-COPD-HRRP,364,,1.0081,19.0707,18.9174,70,07/01/2013,06/30/2016
UPMC NORTHWEST,390091,PA,READM-30-HF-HRRP,302,,0.9458,20.6650,21.8492,59,07/01/2013,06/30/2016
UPMC NORTHWEST,390091,PA,READM-30-HIP-KNEE-HRRP,Not Available,,0.9542,4.5161,4.7330,Too Few to Report,07/01/2013,06/30/2016
UPMC NORTHWEST,390091,PA,READM-30-PN-HRRP,487,,1.0954,20.4502,18.6692,105,07/01/2013,06/30/2016
CLARION HOSPITAL,390093,PA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CLARION HOSPITAL,390093,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CLARION HOSPITAL,390093,PA,READM-30-COPD-HRRP,91,,0.9520,18.2006,19.1189,13,07/01/2013,06/30/2016
CLARION HOSPITAL,390093,PA,READM-30-HF-HRRP,105,,1.0618,23.1110,21.7650,28,07/01/2013,06/30/2016
CLARION HOSPITAL,390093,PA,READM-30-HIP-KNEE-HRRP,Not Available,,0.9237,3.8585,4.1773,Too Few to Report,07/01/2013,06/30/2016
CLARION HOSPITAL,390093,PA,READM-30-PN-HRRP,198,,1.0166,15.6933,15.4367,32,07/01/2013,06/30/2016
ST JOSEPH MEDICAL CENTER,390096,PA,READM-30-AMI-HRRP,202,,0.8986,15.3277,17.0573,24,07/01/2013,06/30/2016
ST JOSEPH MEDICAL CENTER,390096,PA,READM-30-CABG-HRRP,Not Available,,1.0127,16.5863,16.3788,Too Few to Report,07/01/2013,06/30/2016
ST JOSEPH MEDICAL CENTER,390096,PA,READM-30-COPD-HRRP,295,,0.9490,17.8850,18.8465,49,07/01/2013,06/30/2016
ST JOSEPH MEDICAL CENTER,390096,PA,READM-30-HF-HRRP,510,,0.9996,22.9459,22.9549,117,07/01/2013,06/30/2016
ST JOSEPH MEDICAL CENTER,390096,PA,READM-30-HIP-KNEE-HRRP,Not Available,,0.8594,6.2251,7.2437,Too Few to Report,07/01/2013,06/30/2016
ST JOSEPH MEDICAL CENTER,390096,PA,READM-30-PN-HRRP,355,,0.9360,15.6996,16.7726,52,07/01/2013,06/30/2016
HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,390097,PA,READM-30-AMI-HRRP,147,,0.9763,17.4181,17.8404,24,07/01/2013,06/30/2016
HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,390097,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,390097,PA,READM-30-COPD-HRRP,176,,0.9928,19.0475,19.1857,33,07/01/2013,06/30/2016
HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,390097,PA,READM-30-HF-HRRP,508,,0.9840,20.8626,21.2014,105,07/01/2013,06/30/2016
HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,390097,PA,READM-30-HIP-KNEE-HRRP,430,,1.0441,4.9241,4.7161,22,07/01/2013,06/30/2016
HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,390097,PA,READM-30-PN-HRRP,519,,1.1565,18.9987,16.4278,107,07/01/2013,06/30/2016
LANCASTER GENERAL HOSPITAL,390100,PA,READM-30-AMI-HRRP,861,,0.9451,14.8211,15.6824,124,07/01/2013,06/30/2016
LANCASTER GENERAL HOSPITAL,390100,PA,READM-30-CABG-HRRP,229,,0.9238,12.7784,13.8320,27,07/01/2013,06/30/2016
LANCASTER GENERAL HOSPITAL,390100,PA,READM-30-COPD-HRRP,626,,0.9137,16.9984,18.6037,100,07/01/2013,06/30/2016
LANCASTER GENERAL HOSPITAL,390100,PA,READM-30-HF-HRRP,1672,,0.7170,14.9743,20.8853,231,07/01/2013,06/30/2016
LANCASTER GENERAL HOSPITAL,390100,PA,READM-30-HIP-KNEE-HRRP,1419,,0.9157,4.2741,4.6676,59,07/01/2013,06/30/2016
LANCASTER GENERAL HOSPITAL,390100,PA,READM-30-PN-HRRP,1203,,0.8401,13.0146,15.4920,147,07/01/2013,06/30/2016
MEMORIAL HOSPITAL,390101,PA,READM-30-AMI-HRRP,110,,0.9303,14.1979,15.2611,11,07/01/2013,06/30/2016
MEMORIAL HOSPITAL,390101,PA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MEMORIAL HOSPITAL,390101,PA,READM-30-COPD-HRRP,154,,1.0076,16.5414,16.4172,26,07/01/2013,06/30/2016
MEMORIAL HOSPITAL,390101,PA,READM-30-HF-HRRP,176,,0.9447,18.3914,19.4681,29,07/01/2013,06/30/2016
